image,url
crop_00000060,https://drive.google.com/file/d/1rmDSlKIEedtC2oQOzTotaQUiWT5ETm3f/view?usp=drive_link
crop_00000059,https://drive.google.com/file/d/1IhmLsZz_s21hlj0TpOBgs58DeUCMNrjg/view?usp=drive_link
crop_00000049,https://drive.google.com/file/d/18BVYXYux6H2mJC5pScc_hkEdQRffii11/view?usp=drive_link
crop_00000046,https://drive.google.com/file/d/1UZwKLKjTyZHiIQasxxIc4p9YVRmRGJDC/view?usp=drive_link
crop_00000045,https://drive.google.com/file/d/1z2Z-00st4I1GPi5KJ_mWqYT1zrbUq2cQ/view?usp=drive_link
crop_00000042,https://drive.google.com/file/d/125VW-MRlOe8gyhCwh9cBhwRF3hlIAOMb/view?usp=drive_link
crop_00000040,https://drive.google.com/file/d/1vWmNzK8uRYlbOYs8vpGNECnLSEQSpi9e/view?usp=drive_link
crop_00000038,https://drive.google.com/file/d/1v2umpXq4dVdoAb59u0m1rOVgI4aPSoA6/view?usp=drive_link
crop_00000037,https://drive.google.com/file/d/1yYn-vRNivEjq0WVdjhHEVpjEXOxTq8HZ/view?usp=drive_link
crop_00000035,https://drive.google.com/file/d/1wONfUwpgq-nVOyk4omeQ8UHalyFDS95Q/view?usp=drive_link
crop_00000032,https://drive.google.com/file/d/1AMTrtxA8xhIdLsuc6YdINsGYBwZhtq1R/view?usp=drive_link
crop_00000022,https://drive.google.com/file/d/1sdDEaf1t0M4_lN23Q92epHv3NmSnBIeV/view?usp=drive_link
crop_00000020,https://drive.google.com/file/d/1vhUfn1O6tN141qvncWrPsmKvUtaWY_84/view?usp=drive_link
crop_00000019,https://drive.google.com/file/d/1Yao6dDcPbMDihAmdWJq531Mwm_NHe3_9/view?usp=drive_link
crop_00000017,https://drive.google.com/file/d/1yhzhbNoA8yuXb79rzPXYA1uGPa9q0gdi/view?usp=drive_link
crop_00000015,https://drive.google.com/file/d/1MEdFWEDf5vgZPckOP9RNrtPvGIj7K1Ik/view?usp=drive_link
crop_00000012,https://drive.google.com/file/d/164SWquWI5dLeJwAKmfXdbfjtDEpT5ojt/view?usp=drive_link
crop_00000011,https://drive.google.com/file/d/1RLITk3p-Uwg625zdh0QqGP-AUboyO8WV/view?usp=drive_link
crop_00000010,https://drive.google.com/file/d/107KWEVBS2dp1Ml4mv_8cYQOB7zm4WvAK/view?usp=drive_link
crop_00000009,https://drive.google.com/file/d/1HFnbh2tK85CGu63lLtmlSCKExhMgcNN9/view?usp=drive_link
crop_00000002,https://drive.google.com/file/d/13_BWw-RGSA0nxfYlwxGAOvkmh5xTkVc1/view?usp=drive_link
